Order ID,Customer Id,OrderDate,Ship Date,State,City,Sales Channel,Category,Sub Category,ProductID,Quantity,Unit Price,Discount %,TaxRate,ShippingCost,Order Total,Notes
ORD7001655,C446697,6/8/2025,6/12/2025,TX,HOUSTON,Phone,Health,skincare,P79870,1,723.23,0.05,0.045,4.99,$722.98,expedite
ORD7262502,C084974,13/32/2025,8/3/2025,az,Tucson,ONLINE,HOME,Lamp,P08018,2,$565.44,0.2,6.50%,$4.99,968.5,expedite
ORD3609236,C094740,7/2/2025,7/9/2025,NM,,Online,grocery,pasta,P21986,1,$502.13,0,0.0725,$9.99,548.52,
ORD3449520,C137827,11/17/2025,11/26/2025,CA,Sacramento,In-Store,GROCERY,cereal,P45500,2,$587.29,0.05,0.065,$12.99,1201.37,Address corrected
ORD4370687,C796611,2-Mar-25,3/11/2025,ok,tulsa,in-store,HOME,LAMP,P76676,4,$450.85,,6.50%,$4.99,"$1,733.55",promo applied
ORD4637600,C565237,1/18/2025,1/26/2025,UT,provo,online,ELECTRONICS,laptop,P35264,1,$784.35,0,6.50%,$12.99,$848.32,Address corrected
ORD4507802,C119720,1/28/2026,2/6/2026,NM,Santa_Fe,online,health,THERMOMETER,P00140,3,$275.53USD,0.05,0.0825,$7.99,$858.03,
ORD4572071,C851572,1/1/2026,1/7/2026,CA,San Jose,IN-STORE,electronics,KEYBOARD,P90156,1,785.23,0,0.045,$7.99,$828.56,VIP customer
ORD2131954,C092722,7/24/2025,7/28/2025,ok,OKLAHOMA CITY,Online,grocery,snacks,P15257,2,$401.00,0,0.0825,,$878.15,
ORD1233189,C440132,7/6/2025,7/15/2025,NM,Albuquerque,Online,Health,First_Aid,P81095,1,588.11,0,0.0725,$0.00,630.75,returned
ORD6912192,C013706,1/5/2025,9-Jan-25,CA,SACRAMENTO,Online,Grocery,Snacks,P83756,3,81.76,0,0.0825,$7.99,273.51,returned
ORD7908302,C214962,10/6/2025,10/8/2025,tx,DALLAS,IN-STORE,Health,Protein,P20514,5,$794.66,0.2,0.0825,$9.99,,
ORD7174859,C201930,9/13/2025,9/22/2025,OK,Oklahoma City,In-Store,Home,CHAIR,P85151,1,$282.58,0,0.065,0,,returned
ORD3973781,C942355,4/21/2025,4/24/2025,n m,Santa Fe,Phone,grocery,Tea,P20676,4,$754.13,0.05,0.045,4.99,2999.64,returned
ORD9311791,C072946,1/31/2025,2/8/2025,CA,SAN DIEGO,phone,HOME,LAMP,P38439,1,562.72,0,0.045,$9.99,,Address corrected
ORD3862650,C478905,1/9/2025,1/12/2025,co,Denver,Phone,HOME,Chair,P34845,,739.35,,0.065,$0.00,"$1,417.33",
ORD7130756,C355410,8/22/2025,8/29/2025,UT,Salt Lake City,In-Store,Grocery,Snacks,P86664,1,$689.44,0.1,0.0725,$12.99,678.47,
ORD1982191,C363899,5/16/2025,5/20/2025,UT,salt lake city,ONLINE,HEALTH,VITAMINS,P85450,1,374.45,0.15,0.065,12.99,351.96,
ORD7645519,C979482,7/20/2025,7/26/2025,UT,provo,ONLINE,GROCERY,Pasta,P77988,2,$758.83,0.05,0.0825,$7.99,1568.71,
ORD1325764,C084909,11/1/2025,11/9/2025,AZ,MESA,Phone,Electronics,Headphones,P64532,1,$236.84,0.2,0.065,$9.99,211.78,VIP customer
ORD6231711,C266587,7/15/2025,7/19/2025,TX,dallas,In-Store,health,Vitamins,P25121,,$401.28,0.15,0.0725,0,365.82,
ORD6959823,C737185,3-Dec-25,12/9/2025,N M,tulsa,PHONE,ELECTRONICS,laptop,P93186,5,$243.41,0,0.065,$0.00,"1,296.16",
ORD5876201,C067933,3/6/2025,3/7/2025,OK,Oklahoma_City,ONLINE,Home,Lamp,P87909,4,$336.65,0,6.50%,$12.99,"1,447.12",
ORD1713023,C991391,1/25/2025,2/2/2025,AZ,phoenix,Online,Health,Vitamins,P34123,4,$675.31,0.05,0.0725,$0.00USD,"2,752.23",
ORD6869041,C726606,7/11/2025,7/20/2025,AZ,phoenix,PHONE,grocery,snacks,P32662,1,68.45,0,6.50%,12.99,$85.89,
ORD3763592,C904572,7/26/2025,8/4/2025,NM,,In-Store,Grocery,Snacks,P10994,1,$843.72,0.2,0.065,7.99,$726.84,Address corrected
ORD9417604,C951003,29-May-25,6/1/2025,TX,EL PASO,PHONE,Grocery,snacks,P75904,1,$13.77,0.05,0.0825,,24.15,VIP customer
ORD3742026,C504398,1/2/2025,13/32/2025,AZ,Phoenix,In-Store,HEALTH,THERMOMETER,P72836,2,$473.22,0,0.0725,$4.99,"$1,020.05",promo applied
ORD0115419,C652494,24-Apr-25,4/27/2025,AZ,TUCSON,In-Store,Home,Chair,P59380,1,107.23,0,0.045,0,112.06,
ORD4905948,C369455,10/28/2025,11/7/2025,CO,Colorado Springs,Phone,Home,Chair,P68217,2,$38.86,0.2,0.0725,0,$66.68,expedite
ORD5258295,C721823,8/28/2025,8/29/2025,CO,Denver,IN-STORE,Grocery,SNACKS,P92013,4,$196.21,0.2,0.045,$7.99,$664.12USD,promo applied
ORD3856868,C468482,1/21/2025,1/30/2025,N M,colorado springs,Online,CLOTHING,hat,P18595,2,367.09,0,0.0725,4.99,792.4,
ORD4798809,C943599,6/21/2025,6/22/2025,AZ,phoenix,PHONE,Electronics,Laptop,P97855,3,$296.18,0.05,0.0825,$4.99,$918.74,returned
ORD4514206,C429444,4/22/2025,4/27/2025,CO,Denver,online,health,Skincare,P11379,4,$317.74,0.1,0.065,$4.99,"$1,223.21",Address corrected
ORD5465219,C204351,26-Feb-25,2/27/2025,TX,Houston,PHONE,Health,Vitamins,P43282,5,795.29,0.1,0.045,,"3,752.84",Address corrected
ORD5193028,C585669,10/3/2025,3-Oct-25,NM,ALBUQUERQUE,in-store,Grocery,Coffee,P25040,4,$795.09USD,0,0.045,$12.99,"$3,336.47",Address corrected
ORD2902865,C375159,12/17/2025,12/21/2025,N M,santa fe,Phone,Health,Vitamins,P92215,-1,,0.15,0.0825,9.99,-$738.21,Address corrected
ORD3040174,C486844,21-Dec-25,12/27/2025,co,,Phone,ELECTRONICS,LAPTOP,P09284,2,$428.60,0.1,0.0725,0,827.41,promo applied
ORD3935465,C510605,9/14/2025,9/15/2025,OK,Tulsa,IN-STORE,grocery,Cereal,P27301,3,$297.72,0,0.0825,0,966.85,
ORD3107762,C786253,7/28/2025,8/6/2025,CO,DENVER,Online,Electronics,Headphones,P21869,1,384.11,0.1,0.0825,$0.00,374.22,VIP customer
ORD3345232,C271083,11/9/2025,13/32/2025,az,MESA,in-store,HOME,BLENDER,P43720,1,$796.77,0.05,8.25%,7.99,$827.37,returned
ORD4582920,C235097,8/14/2025,8/14/2025,TX,houston,ONLINE,home,blender,P79068,1,$278.28,0,0.065,$9.99,$306.36,returned
ORD5499758,C852960,1/17/2025,13/32/2025,AZ,PHOENIX,phone,Grocery,Pasta,P41484,4,$261.70,,0.0825,$9.99,"$1,143.15",
ORD3015136,C952527,1/10/2025,1/11/2025,AZ,Tucson,PHONE,Home,air purifier,P12491,2,$380.24,0,7.25%,4.99,$820.60,Address corrected
ORD2879163,C118165,9/15/2025,9/22/2025,ok,Tulsa,IN-STORE,home,Chair,P58484,4,650.8,0.1,0.0825,$12.99,"2,549.16",returned
ORD6588307,C660083,5/6/2025,7-May-25,UT,Salt Lake City,In-Store,CLOTHING,jacket,P49160,-1,$439.20,0.1,6.50%,4.99,-$415.98,VIP customer
ORD8957027,C612076,1/29/2026,4-Feb-26,AZ,Phoenix,PHONE,electronics,MONITOR,P35525,1,770.83,0.1,6.50%,$4.99,$743.83USD,VIP customer
ORD2653329,C796026,10/30/2025,11/1/2025,CA,san diego,In-Store,HOME,Blender,P11048,2,$108.54,0.2,0.0825,9.99,$197.98,returned
ORD4358174,C979442,1/27/2025,2/2/2025,CO,boulder,In-Store,grocery,Coffee,P23265,1,$639.32,0.2,8.25%,12.99,566.64,promo applied
ORD7596343,C065871,12/28/2025,12/30/2025,TX,El Paso,ONLINE,Clothing,T-SHIRT,P11709,2,$713.20,0.1,0.065,7.99,"1,375.19",expedite
ORD5111713,C504477,1/7/2026,12-Jan-26,CA,SAN DIEGO,IN-STORE,GROCERY,snacks,P21908,3,$209.05,0,0.0825,$12.99,$691.88,
ORD6312661,C055326,1/21/2025,1/21/2025,OK,oklahoma city,online,health,Vitamins,P03496,,406.63,0,0.065,$0.00,$866.12,promo applied
ORD9645088,C548042,12/14/2025,12/15/2025,ok,Oklahoma City,IN-STORE,Grocery,Coffee,P63684,1,,0.05,0.0825,$9.99,$126.07,promo applied
ORD4831870,C059681,3/5/2025,3/15/2025,NM,Santa Fe,online,Electronics,monitor,P51314,1,$762.26,0.2,0.065,4.99,$654.44,VIP customer
ORD8522518,C826617,6/17/2025,19-Jun-25,tx,DALLAS,phone,CLOTHING,Jeans,P73027,5,686.39,0.1,0.065,$9.99,"$3,299.51",
ORD1840354,C617366,2/23/2026,3/4/2026,n m,Rio_Rancho,IN-STORE,grocery,Pasta,P43797,3,$252.07,0,0.0725,$12.99,$824.03USD,Address corrected
ORD8882438,C911224,9/12/2025,9/13/2025,tx,HOUSTON,In-Store,health,SKINCARE,P52043,3,810.37,0.15,0.045,9.99,"2,169.42",Address corrected
ORD8287376,C875889,3/14/2025,24-Mar-25,NM,las cruces,in-store,grocery,Pasta,P12864,4,485.57,0,0.065,$12.99USD,2081.52,VIP customer
ORD9637866,C002372,6/23/2025,6/26/2025,NM,Las_Cruces,Phone,CLOTHING,Jeans,P00923,2,$807.42,0,0.0725,$12.99,"1,744.91",Address corrected
ORD3458965,C133530,9/1/2025,9/4/2025,NM,Las_Cruces,Online,electronics,Monitor,P47270,5,$757.91,0,0.065,$12.99,$4048.86USD,returned
ORD6314287,C065463,3/23/2025,25-Mar-25,AZ,MESA,In-Store,ELECTRONICS,monitor,P26639,1,503.34,0,0.0825,$7.99USD,$552.86,returned
ORD2893778,C751836,13/32/2025,2/19/2026,nm,Rio Rancho,Phone,Electronics,Monitor,P35915,-1,$211.99,0.05,0.045,$4.99,-205.46,Address corrected
ORD3804088,C239554,3/8/2025,12-Mar-25,AZ,tucson,Online,HOME,lamp,P66718,,$111.40,0.2,8.25%,12.99,$205.93,
ORD8118840,C771277,1/8/2026,1/15/2026,TX,AUSTIN,Online,HOME,CHAIR,P85177,-1,90.23,0,0.065,0,-$96.09,promo applied
ORD7276767,C257080,2/16/2026,26-Feb-26,ut,provo,Online,GROCERY,Cereal,P15175,-1,205.97,0,0.065,$12.99,-206.37,VIP customer
ORD3040174,C486844,21-Dec-25,12/27/2025,co,,Phone,ELECTRONICS,LAPTOP,P09284,2,$428.60,0.1,0.0725,0,827.41,promo applied
ORD2572521,C771085,11/14/2025,11/17/2025,TX,houston,Online,GROCERY,Snacks,P55103,1,813.27,0,7.25%,$4.99,$877.22,expedite
ORD5178908,C585657,13/32/2025,1/25/2026,TX,austin,Phone,HOME,AIR PURIFIER,P00523,1,$478.11USD,0,4.50%,$4.99,$504.61,returned
ORD1829617,C350875,12/15/2025,15-Dec-25,NM,,Online,GROCERY,cereal,P63137,1,118.8,0,0.0825,$0.00,,
ORD9181128,C847358,13/32/2025,2/1/2025,UT,SALT LAKE CITY,online,CLOTHING,T-Shirt,P91737,1,353.45,0.15,0.045,$0.00,$313.95,
ORD8234816,C545828,4/21/2025,4/30/2025,N M,oklahoma city,In-Store,Grocery,Tea,P37818,2,,0.2,0.045,$4.99,981.37,VIP customer
ORD7559665,C475144,3/2/2025,3/5/2025,CO,,Online,GROCERY,pasta,P45334,3,$256.38,0.1,0.045,$9.99USD,733.37,
ORD1394855,C557128,3/4/2025,3/7/2025,UT,salt lake city,IN-STORE,clothing,Hat,P59927,1,$95.22,0,0.0725,12.99,$115.11,
ORD9637246,C276160,13-Aug-25,23-Aug-25,N M,tulsa,In-Store,HEALTH,vitamins,P54787,2,377.72,0,0.0825,$0.00,$817.76USD,promo applied
ORD4052716,C679263,1/22/2025,1/25/2025,OK,Tulsa,ONLINE,Home,VACUUM,P88752,1,823.65,0,0.0725,$12.99,$896.35,promo applied
ORD7142816,C684905,5/30/2025,6/7/2025,nm,santa fe,IN-STORE,HOME,LAMP,P90054,1,$160.57,0.05,7.25%,$0.00,,promo applied
ORD5397988,C361399,11/25/2025,28-Nov-25,OK,Tulsa,In-Store,HOME,Vacuum,P14465,2,29.7,0.05,8.25%,7.99,69.08,
ORD6132272,C328643,10/28/2025,3-Nov-25,UT,provo,IN-STORE,Health,Skincare,P99458,2,$422.86USD,0.05,0.045,$4.99,844.58,
ORD2502535,C922454,9/24/2025,10/4/2025,TX,DALLAS,Phone,Grocery,cereal,P01927,1,611.21,0.05,0.0725,$0.00,622.75,expedite
ORD9598040,C922596,6/13/2025,6/18/2025,ut,Provo,Phone,GROCERY,Pasta,P86545,1,$611.27,0.05,0.045,$4.99,,returned
ORD2550336,C889242,6/17/2025,6/18/2025,NM,Rio Rancho,Online,grocery,COFFEE,P60176,1,$70.31,0,0.0725,$12.99,$88.40,returned
ORD7645519,C979482,7/20/2025,7/26/2025,UT,provo,ONLINE,GROCERY,Pasta,P77988,2,$758.83,0.05,0.0825,$7.99,1568.71,
ORD8528130,C947859,2/16/2025,2/17/2025,az,phoenix,In-Store,Electronics,Keyboard,P79907,2,$152.22,0,0.0825,0,329.56,returned
ORD0590859,C777418,1/16/2026,1/17/2026,CO,Colorado Springs,in-store,Health,THERMOMETER,P87245,3,670.55,0.2,0.0825,9.99,"1,752.08",
ORD3484553,C703831,8/7/2025,8/10/2025,ut,Provo,ONLINE,CLOTHING,SHOES,P35191,1,69.17,0.2,0.045,$12.99,70.82,promo applied
ORD1586800,C737312,3/22/2025,30-Mar-25,ok,Oklahoma City,Online,electronics,Headphones,P09534,4,,0,0.0825,$12.99USD,$106.17,returned
ORD4180215,C605560,11/16/2025,13/32/2025,CO,colorado springs,In-Store,HEALTH,protein,P72318,-1,,0,8.25%,$0.00,-555.04,Address corrected
ORD1372774,C811929,1/24/2025,2/3/2025,AZ,MESA,ONLINE,HEALTH,VITAMINS,P56769,1,$222.71,0.1,0.045,,$209.46USD,VIP customer
ORD8475531,C464514,1/14/2026,1/18/2026,OK,OKLAHOMA CITY,PHONE,home,LAMP,P10624,5,$151.35,0,0.0825,$9.99USD,$829.17,
ORD5476228,C683587,2/2/2026,2/7/2026,AZ,phoenix,in-store,HEALTH,protein,P77280,1,492.65,0,6.50%,$4.99,$529.66,
ORD0534008,C414608,2-Feb-26,4-Feb-26,TX,AUSTIN,phone,Clothing,shoes,P32841,1,$786.52,0.15,0.0825,9.99,733.69,returned
ORD7615632,C964078,2/12/2026,2/19/2026,CA,Sacramento,Online,CLOTHING,T-Shirt,P40786,4,$620.19,0,0.045,$9.99,"$2,602.38",VIP customer
ORD5493281,C538571,9/7/2025,9/17/2025,co,denver,PHONE,HOME,VACUUM,P65478,1,,0,0.0725,$9.99,640.79,expedite
ORD1460292,C730487,5/22/2025,5/28/2025,AZ,mesa,PHONE,Home,Blender,P07646,-1,498.41,0,0.0825,4.99,-$534.54,promo applied
ORD0833753,C117902,13/32/2025,9/12/2025,ca,san jose,Phone,Electronics,Headphones,P52452,1,592.1,0,6.50%,$12.99,$643.58,expedite
ORD1400924,C195824,2/18/2026,2/18/2026,OK,oklahoma city,In-Store,health,Thermometer,P25755,2,441.5,0.15,0.045,$12.99,$797.31,returned
ORD5565909,C649850,4/8/2025,4/18/2025,co,Denver,online,HEALTH,vitamins,P64581,2,$267.44,0,0.045,0,$558.95,
ORD3768074,C949022,2/1/2026,2/11/2026,ut,Salt Lake City,in-store,HOME,Vacuum,P62646,4,172.38,0,0.065,$9.99,744.33,returned
ORD4403506,C594679,12/9/2025,12/14/2025,ut,provo,In-Store,health,first aid,P27953,5,$294.70,0,0.045,7.99,"$1,547.80",
ORD1094468,C884033,13/32/2025,8/12/2025,UT,PROVO,In-Store,health,First Aid,P85601,3,$662.10USD,0.1,0.045,0,$1868.12USD,
ORD3833113,C889338,12/5/2025,12/13/2025,OK,OKLAHOMA CITY,Online,HOME,vacuum,P76893,1,5.3,0,0.045,$4.99,$10.53,
ORD9279766,C781444,6/1/2025,6/5/2025,OK,oklahoma city,online,Electronics,Headphones,P19314,4,$337.24,0.2,0.0725,$0.00,"$1,157.41",
ORD7701917,C587077,1/19/2025,1/19/2025,ut,Salt_Lake_City,ONLINE,Home,BLENDER,P09245,-1,273.98,0,0.045,$4.99USD,-$281.32,returned
ORD2417285,C326281,11/19/2025,11/28/2025,TX,DALLAS,in-store,HEALTH,PROTEIN,P55273,1,267.62,0.05,0.045,$4.99,$270.67USD,
ORD3893909,C207170,9/29/2025,10/9/2025,TX,Austin,in-store,Home,Vacuum,P13043,1,421.5,0.1,0.045,4.99,401.41,
ORD3734396,C815866,2/15/2025,2/18/2025,CA,Sacramento,IN-STORE,Home,blender,P44353,4,$270.75,0.2,0.0825,0,937.88,expedite
ORD8442366,C523493,10/13/2025,10/20/2025,UT,SALT LAKE CITY,Phone,electronics,monitor,P05716,2,$53.87,0,0.0825,$9.99,$126.62,
ORD0449337,C151252,4/19/2025,4/19/2025,nm,albuquerque,ONLINE,Home,Lamp,P38652,1,$527.33,0.15,0.0725,$0.00,480.73,
ORD7518399,C159353,9/10/2025,9/14/2025,CA,SAN JOSE,ONLINE,Health,FIRST AID,P02126,3,411.2,0.15,0.065,12.99,"1,129.71",returned
ORD6356533,C240221,1/23/2025,1/25/2025,NM,las cruces,PHONE,health,First Aid,P03524,4,$757.90,0,0.045,,"$3,168.02",
ORD6433672,C333952,7/6/2025,14-Jul-25,NM,Las Cruces,phone,HEALTH,Skincare,P38160,2,182.2,0.15,0.065,$4.99,334.86,
ORD8912493,C253084,13/32/2025,10/25/2025,AZ,PHOENIX,phone,electronics,Laptop,P81318,5,$680.21,0,0.045,$12.99,"$3,567.09",VIP customer
ORD5246618,C978391,11/18/2025,11/28/2025,ok,oklahoma city,Phone,clothing,T-Shirt,P25902,1,245.97,0,0.065,7.99,$269.95,
ORD1033518,C393319,3/31/2025,4/3/2025,AZ,TUCSON,Phone,Health,thermometer,P58057,2,796.44,0,4.50%,7.99,"$1,672.55",
ORD2782632,C293550,7/15/2025,7/23/2025,co,Colorado_Springs,IN-STORE,HOME,Blender,P77832,3,$424.32,0.15,0.0825,4.99,"$1,176.27",returned
ORD0276434,C928291,2/23/2025,2/27/2025,TX,El_Paso,IN-STORE,ELECTRONICS,KEYBOARD,P26107,-1,547.68,0,0.065,,$-573.29USD,promo applied
ORD9191558,C667013,3/26/2025,3/28/2025,TX,austin,in-store,GROCERY,Snacks,P21946,4,425.53,0,0.0825,$9.99USD,"$1,852.53",VIP customer
ORD6563000,C311496,4/18/2025,28-Apr-25,AZ,Mesa,PHONE,HEALTH,PROTEIN,P27113,4,$593.77USD,0,0.0825,0,"2,571.02",Address corrected
ORD8118840,C771277,1/8/2026,1/15/2026,TX,AUSTIN,Online,HOME,CHAIR,P85177,-1,90.23,0,0.065,0,-$96.09,updated record
ORD4799593,C875637,9/4/2025,9/4/2025,tx,,in-store,Grocery,Coffee,P76563,1,175.54,0.1,0.0825,$7.99,$179.01,promo applied
ORD9453259,C073527,8/16/2025,8/16/2025,AZ,Mesa,Online,Electronics,KEYBOARD,P43400,2,$74.62,0.05,0.045,$0.00,148.16,Address corrected
ORD3429763,C747386,13/32/2025,3/26/2025,CA,SAN DIEGO,ONLINE,Health,thermometer,P45859,1,$606.51,0.15,0.0825,$12.99,$571.06USD,Address corrected
ORD0249207,C619898,7/16/2025,7/25/2025,NM,ALBUQUERQUE,online,Electronics,Monitor,P57163,3,$615.95USD,,0.045,$12.99USD,"$1,943.99",
ORD2264304,C600535,6/8/2025,6/18/2025,OK,Tulsa,phone,Electronics,headphones,P54313,5,$139.04USD,0,0.065,$4.99,$745.38USD,expedite
ORD2776110,C573393,6/2/2025,6/2/2025,CA,Los Angeles,online,Grocery,PASTA,P26096,,792.36,0.2,0.0825,$7.99,-$678.19,
ORD8016127,C509637,18-Aug-25,8/26/2025,nm,Albuquerque,Online,Home,Chair,P18933,-1,$15.33,0.1,0.0725,7.99,,
ORD5587160,C944874,8/12/2025,12-Aug-25,OK,Tulsa,IN-STORE,HOME,Air_Purifier,P81183,4,332.85,0,0.045,$4.99,1396.3,returned
ORD3080827,C523252,1/30/2025,2/4/2025,TX,HOUSTON,Phone,HEALTH,Protein,P52162,1,$347.39,0,0.0825,9.99,$386.04,expedite
ORD2558598,C063673,1/18/2026,1/27/2026,CA,los angeles,Online,Grocery,TEA,P39267,4,$675.04,0,0.0725,9.99,"$2,905.91",Address corrected
ORD1779577,C868733,5/23/2025,5/29/2025,CO,BOULDER,Online,electronics,Keyboard,P89397,3,,0.05,0.0725,$4.99,$546.44,returned
ORD5264724,C576401,7/6/2025,7/8/2025,AZ,tucson,ONLINE,grocery,Pasta,P11163,2,$680.74,0.2,0.065,$9.99,1169.97,
ORD5448978,C302477,1/7/2026,1/12/2026,ca,SAN JOSE,Phone,Clothing,T-SHIRT,P97204,3,$655.13USD,0.05,7.25%,$9.99,"2,012.48",
ORD7907710,C970161,3/20/2025,13/32/2025,NM,SANTA FE,Online,HEALTH,protein,P41045,1,256.74,0,0.0825,$12.99,290.91,returned
ORD3162873,C493342,11/9/2025,11/17/2025,NM,Las Cruces,In-Store,Health,Protein,P28667,1,$235.40,0,0.045,12.99,258.98,
ORD1258707,C620812,4/30/2025,5/10/2025,TX,Dallas,Phone,Home,blender,P37998,5,$792.94,0.05,0.065,$4.99,"$4,016.28",expedite
ORD9940124,C230542,10/12/2025,19-Oct-25,NM,RIO RANCHO,ONLINE,Clothing,SHOES,P69930,4,448.49,0,0.065,$12.99,"1,923.56",promo applied
ORD5947291,C266435,2/6/2025,2/16/2025,co,Colorado Springs,ONLINE,Electronics,LAPTOP,P68749,-1,$726.03USD,0,0.0725,0,-$778.67,expedite
ORD7232644,C996605,4/13/2025,4/14/2025,az,Tucson,in-store,CLOTHING,JACKET,P82063,1,186.03,0.1,6.50%,7.99,$186.30,
ORD9475421,C955582,6/14/2025,6/15/2025,UT,Salt Lake City,phone,grocery,Snacks,P18468,1,277.06,0,0.0825,0,$299.92,expedite
ORD6596175,C048640,3/2/2025,3/8/2025,CA,sacramento,In-Store,ELECTRONICS,Headphones,P69821,5,20.02,0.15,0.065,$9.99,100.61,
ORD9920239,C980776,9-Dec-25,17-Dec-25,CO,denver,In-Store,Home,LAMP,P90179,2,503.37,0.05,0.045,9.99,"$1,009.43",
ORD2058135,C824885,7/13/2025,7/23/2025,tx,HOUSTON,in-store,Home,CHAIR,P45712,3,60.14,0,0.045,,$198.53,
ORD2159456,C893196,13-Jun-25,6/21/2025,nm,Albuquerque,PHONE,Clothing,JEANS,P81711,1,$208.48,0,0.0825,9.99,235.67,Address corrected
ORD8092061,C536661,2/8/2025,2/12/2025,tx,Austin,Online,clothing,SHOES,P44902,5,$250.77,0.1,7.25%,$9.99,"1,220.27",expedite
ORD8711873,C722741,10/6/2025,10/12/2025,TX,El Paso,phone,home,Chair,P17670,2,$44.87,0.1,0.045,,89.39,returned
ORD3391615,C197085,4/1/2025,4/4/2025,UT,Salt_Lake_City,Phone,Clothing,HAT,P58309,2,$657.85,0,0.065,$7.99,"$1,409.21",
ORD4145775,C147722,5/21/2025,5/23/2025,CA,san jose,ONLINE,Grocery,Cereal,P33373,5,$376.38,0.1,8.25%,$7.99,"$1,841.43",returned
ORD3406615,C718802,6/6/2025,6/16/2025,ut,SALT LAKE CITY,PHONE,home,lamp,P02042,2,$780.64,0,0.0725,4.99,"$1,679.46",
ORD7246235,C383480,5/31/2025,6/6/2025,CA,san jose,IN-STORE,home,vacuum,P31593,3,142.14,0,0.0725,$12.99,,
